Sample in Buffer,Sample in Window,TRIGGER,Top_BD_i/xlslice_0_Dout_p1[15:0],Top_BD_i/xlslice_1_Dout[15:0],Top_BD_i/AB_gen_stoneage_wrap_0_oup_expected_angle[9:0],Top_BD_i/AB_gen_stoneage_wrap_0_oup_n_pulses[7:0],Top_BD_i/AB_gen_stoneage_wrap_0_oup_pulse_counter[7:0],Top_BD_i/AB_gen_stoneage_wrap_0_oup_mod_sin[15:0],Top_BD_i/AB_gen_stoneage_wrap_0_oup_mod_cos[15:0],Top_BD_i/cobros_stoneage_wrap_0_update,Top_BD_i/HAXI_interconnect_0_M_axi_awvalid,Top_BD_i/clk_wiz_1_clk_out4
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,UNSIGNED,SIGNED,UNSIGNED,SIGNED,SIGNED,HEX,HEX,HEX
0,0,0,32463,-9181,978,0,45,-9042,-8818,0,0,1
1,1,0,32463,-9181,978,0,45,-9042,-8818,0,0,1
2,2,0,32463,-9181,978,0,45,-9042,-8818,0,0,1
3,3,0,32463,-9181,978,0,45,-9042,-8818,0,0,1
4,4,0,32463,-9181,978,0,45,-9042,-8818,0,0,1
5,5,0,32463,-9181,978,0,45,-9042,-8818,0,0,1
6,6,0,32463,-9181,978,0,45,-9042,-8818,0,0,1
7,7,0,32463,-9181,978,0,45,-9042,-8818,0,0,1
8,8,0,32463,-9181,978,0,45,-9042,-8818,0,0,1
9,9,0,32463,-9181,978,0,45,-9042,-8818,0,0,1
10,10,0,32394,-9310,978,0,45,-9042,-8818,0,0,1
11,11,0,32394,-9310,978,0,45,-9042,-8818,0,0,1
12,12,0,32394,-9310,978,0,45,-9042,-8818,0,0,1
13,13,0,32394,-9310,978,0,45,-9042,-8818,1,0,1
14,14,0,32394,-9310,978,0,45,-9022,-8942,0,0,1
15,15,0,32394,-9310,978,0,45,-9022,-8942,0,0,1
16,16,0,32394,-9310,978,0,45,-9022,-8942,0,0,1
17,17,0,32394,-9310,978,0,45,-9022,-8942,0,0,1
18,18,0,32394,-9310,978,0,45,-9022,-8942,0,0,1
19,19,0,32394,-9310,978,0,45,-9022,-8942,0,0,1
20,20,0,32394,-9310,978,0,45,-9022,-8942,0,0,1
21,21,0,32394,-9310,978,0,45,-9022,-8942,0,0,1
22,22,0,32394,-9310,978,0,45,-9022,-8942,0,0,1
23,23,0,32394,-9310,978,0,45,-9022,-8942,0,0,1
24,24,0,32394,-9310,978,0,45,-9022,-8942,0,0,1
25,25,0,32394,-9310,978,0,45,-9022,-8942,0,0,1
26,26,0,32394,-9310,978,0,45,-9022,-8942,0,0,1
